Time [s],Channel 0,Channel 1
0.000000000,1,1
0.023695200,1,0
0.023701200,0,0
0.023702300,0,1
0.023706300,1,1
0.023711300,0,1
0.023712300,0,0
0.023716500,1,0
0.023721500,0,0
0.023722700,0,1
0.023726700,1,1
0.023731700,0,1
0.023732700,0,0
0.023736900,1,0
0.023741900,0,0
0.023743100,0,1
0.023747000,1,1
0.023752100,0,1
0.023753100,0,0
0.023757200,1,0
0.023762300,0,0
0.023767400,1,0
0.023772400,0,0
0.023777600,1,0
0.023782600,0,0
0.023787800,1,0
0.023792800,0,0
0.023798000,1,0
0.023803000,0,0
0.023804200,0,1
0.023808200,1,1
0.023813200,0,1
0.023814200,0,0
0.023818300,1,0
0.023823400,0,0
0.023828500,1,0
0.023833600,0,0
0.023838700,1,0
0.023843700,0,0
0.023848900,1,0
0.023853900,0,0
0.023859100,1,0
0.023864100,0,0
0.023869300,1,0
0.023874300,0,0
0.023879500,1,0
0.023884500,0,0
0.023885100,0,1
0.023889600,1,1
0.023896700,1,0
0.023902700,0,0
0.023903800,0,1
0.023907800,1,1
0.023912900,0,1
0.023913900,0,0
0.023918000,1,0
0.023923000,0,0
0.023924200,0,1
0.023928200,1,1
0.023933200,0,1
0.023934200,0,0
0.023938400,1,0
0.023943400,0,0
0.023944600,0,1
0.023948600,1,1
0.023953600,0,1
0.023954600,0,0
0.023958700,1,0
0.023963800,0,0
0.023968900,1,0
0.023974000,0,0
0.023975200,0,1
0.023979100,1,1
0.023984200,0,1
0.023984500,0,0
0.023989300,1,0
0.023994300,0,0
0.023999500,1,0
0.024004500,0,0
0.024009700,1,0
0.024014700,0,0
0.024019900,1,0
0.024024900,0,0
0.024030000,1,0
0.024035100,0,0
0.024035700,0,1
0.024040200,1,1
0.024045300,0,1
0.024050400,1,1
0.024055400,0,1
0.024060600,1,1
0.024065600,0,1
0.024070800,1,1
0.024075800,0,1
0.024081000,1,1
0.024086000,0,1
0.024087000,0,0
0.024091200,1,0
0.024097400,1,1
0.024165200,1,0
0.024171200,0,0
0.024172300,0,1
0.024176300,1,1
0.024181400,0,1
0.024182400,0,0
0.024186500,1,0
0.024191600,0,0
0.024192700,0,1
0.024196700,1,1
0.024201700,0,1
0.024202700,0,0
0.024206900,1,0
0.024211900,0,0
0.024213100,0,1
0.024217100,1,1
0.024222100,0,1
0.024223100,0,0
0.024227300,1,0
0.024232300,0,0
0.024237500,1,0
0.024242500,0,0
0.024247600,1,0
0.024252700,0,0
