Time [s],Channel 0,Channel 1
0.000000000,1,1
0.052075250,1,0
0.052081250,0,0
0.052082400,0,1
0.052086400,1,1
0.052091450,0,1
0.052092450,0,0
0.052096650,1,0
0.052101700,0,0
0.052102900,0,1
0.052106850,1,1
0.052111900,0,1
0.052112900,0,0
0.052117100,1,0
0.052122100,0,0
0.052123350,0,1
0.052127300,1,1
0.052132350,0,1
0.052133350,0,0
0.052137550,1,0
0.052142550,0,0
0.052147750,1,0
0.052152800,0,0
0.052158000,1,0
0.052163000,0,0
0.052168200,1,0
0.052173250,0,0
0.052178400,1,0
0.052183450,0,0
0.052184700,0,1
0.052188650,1,1
0.052193650,0,1
0.052194650,0,0
0.052198850,1,0
0.052203900,0,0
0.052209100,1,0
0.052214100,0,0
0.052219300,1,0
0.052224350,0,0
0.052229550,1,0
0.052234550,0,0
0.052239750,1,0
0.052244800,0,0
0.052250000,1,0
0.052255000,0,0
0.052260200,1,0
0.052265250,0,0
0.052265900,0,1
0.052270400,1,1
0.052277450,1,0
0.052283450,0,0
0.052284650,0,1
0.052288600,1,1
0.052293650,0,1
0.052294650,0,0
0.052298850,1,0
0.052303900,0,0
0.052305100,0,1
0.052309100,1,1
0.052314100,0,1
0.052315100,0,0
0.052319300,1,0
0.052324350,0,0
0.052325550,0,1
0.052329550,1,1
0.052334550,0,1
0.052335550,0,0
0.052339750,1,0
0.052344800,0,0
0.052349950,1,0
0.052355000,0,0
0.052356250,0,1
0.052360200,1,1
0.052365250,0,1
0.052365700,0,0
0.052370400,1,0
0.052375450,0,0
0.052380650,1,0
0.052385650,0,0
0.052390850,1,0
0.052395900,0,0
0.052401100,1,0
0.052406100,0,0
0.052411300,1,0
0.052416350,0,0
0.052416950,0,1
0.052421550,1,1
0.052426550,0,1
0.052431750,1,1
0.052436800,0,1
0.052441950,1,1
0.052447000,0,1
0.052452200,1,1
0.052457250,0,1
0.052462400,1,1
0.052467450,0,1
0.052468450,0,0
0.052472650,1,0
0.052478850,1,1
0.052544650,1,0
0.052550650,0,0
0.052551850,0,1
0.052555850,1,1
0.052560900,0,1
0.052561900,0,0
0.052566050,1,0
0.052571100,0,0
0.052572300,0,1
0.052576300,1,1
0.052581350,0,1
0.052582350,0,0
0.052586550,1,0
0.052591550,0,0
0.052592750,0,1
0.052596750,1,1
0.052601800,0,1
0.052602800,0,0
0.052606950,1,0
0.052612000,0,0
0.052617200,1,0
0.052622250,0,0
0.052627400,1,0
0.052632450,0,0
0.052637650,1,0
0.052642650,0,0
0.052647850,1,0
0.052652900,0,0
0.052654150,0,1
0.052658100,1,1
0.052663100,0,1
0.052664100,0,0
0.052668300,1,0
0.052673350,0,0
0.052674550,0,1
0.052678550,1,1
0.052683550,0,1
0.052684550,0,0
0.052688750,1,0
0.052693800,0,0
0.052698950,1,0
0.052704000,0,0
0.052709200,1,0
0.052714250,0,0
0.052719400,1,0
0.052724450,0,0
0.052729650,1,0
0.052734650,0,0
0.052735300,0,1
0.052739850,1,1
0.052746900,1,0
0.052752900,0,0
0.052754100,0,1
0.052758050,1,1
0.052763100,0,1
0.052764100,0,0
0.052768300,1,0
0.052773350,0,0
0.052774550,0,1
0.052778500,1,1
0.052783550,0,1
0.052784550,0,0
0.052788750,1,0
0.052793800,0,0
0.052795000,0,1
0.052798950,1,1
0.052804000,0,1
0.052805000,0,0
0.052809200,1,0
0.052814250,0,0
0.052819400,1,0
0.052824450,0,0
0.052825700,0,1
0.052829650,1,1
0.052834650,0,1
0.052835100,0,0
0.052839850,1,0
0.052844900,0,0
0.052850100,1,0
0.052855100,0,0
0.052860300,1,0
0.052865350,0,0
0.052870550,1,0
0.052875550,0,0
0.052880750,1,0
0.052885800,0,0
0.052890950,1,0
0.052896000,0,0
0.052901200,1,0
0.052906200,0,0
0.052911400,1,0
0.052916450,0,0
0.052921650,1,0
0.052926650,0,0
0.052931850,1,0
0.052936900,0,0
0.052940150,0,1
0.052942100,1,1
0.052947100,0,1
0.052947550,0,0
0.052952300,1,0
0.052957350,0,0
0.052962500,1,0
0.052967550,0,0
0.052972750,1,0
0.052977800,0,0
0.052982950,1,0
0.052988000,0,0
0.052993200,1,0
0.052998200,0,0
0.053003400,1,0
0.053008450,0,0
0.053013650,1,0
0.053018650,0,0
0.053023850,1,0
0.053028900,0,0
0.053034100,1,0
0.053039100,0,0
0.053044300,1,0
0.053049350,0,0
0.053054550,1,0
0.053059550,0,0
0.053064750,1,0
0.053069800,0,0
0.053074950,1,0
0.053080000,0,0
0.053085200,1,0
0.053090200,0,0
0.053095400,1,0
0.053100450,0,0
0.053105650,1,0
0.053110650,0,0
0.053115850,1,0
0.053120900,0,0
0.053124150,0,1
0.053126100,1,1
0.053131100,0,1
0.053131600,0,0
0.053136300,1,0
0.053141350,0,0
0.053146500,1,0
0.053151550,0,0
0.053156750,1,0
0.053161800,0,0
0.053166950,1,0
0.053172000,0,0
0.053177200,1,0
0.053182200,0,0
0.053187400,1,0
0.053192450,0,0
0.053197650,1,0
0.053202650,0,0
0.053207850,1,0
0.053212900,0,0
0.053218100,1,0
0.053223100,0,0
0.053228300,1,0
0.053233350,0,0
0.053238500,1,0
0.053243550,0,0
0.053248750,1,0
0.053253800,0,0
0.053258950,1,0
0.053264000,0,0
0.053269200,1,0
0.053274200,0,0
0.053279400,1,0
0.053284450,0,0
0.053289650,1,0
0.053294650,0,0
0.053299850,1,0
0.053304900,0,0
0.053308150,0,1
0.053310100,1,1
0.053315100,0,1
0.053315550,0,0
0.053320300,1,0
0.053325350,0,0
0.053330500,1,0
0.053335550,0,0
0.053340750,1,0
0.053345800,0,0
0.053350950,1,0
0.053356000,0,0
0.053361200,1,0
0.053366200,0,0
0.053371400,1,0
0.053376450,0,0
0.053381650,1,0
0.053386650,0,0
0.053387300,0,1
0.053391850,1,1
0.053396900,0,1
0.053397900,0,0
0.053402100,1,0
0.053408300,1,1
0.150493350,1,0
0.150499350,0,0
0.150500550,0,1
0.150504550,1,1
0.150509600,0,1
0.150510600,0,0
0.150514750,1,0
0.150519800,0,0
0.150521000,0,1
0.150525000,1,1
0.150530050,0,1
0.150531050,0,0
0.150535250,1,0
0.150540250,0,0
0.150541450,0,1
0.150545450,1,1
0.150550500,0,1
0.150551500,0,0
0.150555650,1,0
0.150560700,0,0
0.150565900,1,0
0.150570950,0,0
0.150576100,1,0
0.150581150,0,0
0.150586350,1,0
0.150591350,0,0
0.150596550,1,0
0.150601600,0,0
0.150602850,0,1
0.150606800,1,1
0.150611800,0,1
0.150612800,0,0
0.150617000,1,0
0.150622050,0,0
0.150627250,1,0
0.150632250,0,0
0.150637450,1,0
0.150642500,0,0
0.150647650,1,0
0.150652700,0,0
0.150657900,1,0
0.150662950,0,0
0.150668100,1,0
0.150673150,0,0
0.150678350,1,0
0.150683350,0,0
0.150684050,0,1
0.150688550,1,1
0.150695600,1,0
0.150701600,0,0
0.150702800,0,1
0.150706750,1,1
0.150711800,0,1
0.150712800,0,0
0.150717000,1,0
0.150722050,0,0
0.150723250,0,1
0.150727200,1,1
0.150732250,0,1
0.150733250,0,0
0.150737450,1,0
0.150742500,0,0
0.150743700,0,1
0.150747650,1,1
0.150752700,0,1
0.150753700,0,0
0.150757900,1,0
0.150762950,0,0
0.150768100,1,0
0.150773150,0,0
0.150774400,0,1
0.150778350,1,1
0.150783350,0,1
0.150783800,0,0
0.150788550,1,0
0.150793600,0,0
0.150798800,1,0
0.150803800,0,0
0.150809000,1,0
0.150814050,0,0
0.150819250,1,0
0.150824250,0,0
0.150829450,1,0
0.150834500,0,0
0.150835150,0,1
0.150839650,1,1
0.150844700,0,1
0.150849900,1,1
0.150854950,0,1
0.150860100,1,1
0.150865150,0,1
0.150870350,1,1
0.150875350,0,1
0.150880550,1,1
0.150885600,0,1
0.150886600,0,0
0.150890800,1,0
0.150897000,1,1
0.150962800,1,0
0.150968800,0,0
0.150970000,0,1
0.150973950,1,1
0.150979050,0,1
0.150980050,0,0
0.150984200,1,0
0.150989250,0,0
0.150990450,0,1
0.150994450,1,1
0.150999500,0,1
0.151000500,0,0
0.151004650,1,0
0.151009700,0,0
0.151010900,0,1
0.151014900,1,1
0.151019900,0,1
0.151020900,0,0
0.151025100,1,0
0.151030150,0,0
0.151035350,1,0
0.151040350,0,0
0.151045550,1,0
0.151050600,0,0
0.151055800,1,0
0.151060800,0,0
0.151066000,1,0
0.151071050,0,0
0.151072300,0,1
0.151076200,1,1
0.151081250,0,1
0.151082250,0,0
0.151086450,1,0
0.151091500,0,0
0.151092700,0,1
0.151096650,1,1
0.151101700,0,1
0.151102700,0,0
0.151106900,1,0
0.151111900,0,0
0.151117100,1,0
0.151122150,0,0
0.151127350,1,0
0.151132350,0,0
0.151137550,1,0
0.151142600,0,0
0.151147800,1,0
0.151152800,0,0
0.151153500,0,1
0.151158000,1,1
0.151165050,1,0
0.151171050,0,0
0.151172250,0,1
0.151176200,1,1
0.151181250,0,1
0.151182250,0,0
0.151186450,1,0
0.151191500,0,0
0.151192700,0,1
0.151196650,1,1
0.151201700,0,1
0.151202700,0,0
0.151206900,1,0
0.151211900,0,0
0.151213150,0,1
0.151217100,1,1
0.151222150,0,1
0.151223150,0,0
0.151227350,1,0
0.151232350,0,0
0.151237550,1,0
0.151242600,0,0
0.151243800,0,1
0.151247800,1,1
0.151252800,0,1
0.151253250,0,0
0.151258000,1,0
0.151263050,0,0
0.151268200,1,0
0.151273250,0,0
0.151278450,1,0
0.151283500,0,0
0.151288650,1,0
0.151293700,0,0
0.151298900,1,0
0.151303900,0,0
0.151309100,1,0
0.151314150,0,0
0.151319350,1,0
0.151324350,0,0
0.151329550,1,0
0.151334600,0,0
0.151339800,1,0
0.151344800,0,0
0.151350000,1,0
0.151355050,0,0
0.151358300,0,1
0.151360200,1,1
0.151365250,0,1
0.151365700,0,0
0.151370450,1,0
0.151375500,0,0
0.151380650,1,0
0.151385700,0,0
0.151390900,1,0
0.151395900,0,0
0.151401100,1,0
0.151406150,0,0
0.151411350,1,0
0.151416350,0,0
0.151421550,1,0
0.151426600,0,0
0.151431800,1,0
0.151436800,0,0
0.151442000,1,0
0.151447050,0,0
0.151452200,1,0
0.151457250,0,0
0.151462450,1,0
0.151467500,0,0
0.151472650,1,0
0.151477700,0,0
0.151482900,1,0
0.151487900,0,0
0.151493100,1,0
0.151498150,0,0
0.151503350,1,0
0.151508350,0,0
0.151513550,1,0
0.151518600,0,0
0.151523800,1,0
0.151528800,0,0
0.151534000,1,0
0.151539050,0,0
0.151542250,0,1
0.151544200,1,1
0.151549250,0,1
0.151549700,0,0
0.151554450,1,0
0.151559500,0,0
0.151564650,1,0
0.151569700,0,0
0.151574900,1,0
0.151579900,0,0
0.151585100,1,0
0.151590150,0,0
0.151595350,1,0
0.151600350,0,0
0.151605550,1,0
0.151610600,0,0
0.151615800,1,0
0.151620800,0,0
0.151626000,1,0
0.151631050,0,0
0.151636200,1,0
0.151641250,0,0
0.151646450,1,0
0.151651450,0,0
0.151656650,1,0
0.151661700,0,0
0.151666900,1,0
0.151671900,0,0
0.151677100,1,0
0.151682150,0,0
0.151687350,1,0
0.151692350,0,0
0.151697550,1,0
0.151702600,0,0
0.151707750,1,0
0.151712800,0,0
0.151718000,1,0
0.151723050,0,0
0.151726250,0,1
0.151728200,1,1
0.151733250,0,1
0.151733700,0,0
0.151738450,1,0
0.151743450,0,0
0.151748650,1,0
0.151753700,0,0
0.151758900,1,0
0.151763900,0,0
0.151769100,1,0
0.151774150,0,0
0.151779350,1,0
0.151784350,0,0
0.151789550,1,0
0.151794600,0,0
0.151799750,1,0
0.151804800,0,0
0.151805450,0,1
0.151810000,1,1
0.151815050,0,1
0.151816050,0,0
0.151820200,1,0
0.151826450,1,1
0.248891500,1,0
0.248897500,0,0
0.248898700,0,1
0.248902650,1,1
0.248907750,0,1
0.248908750,0,0
0.248912900,1,0
0.248917950,0,0
0.248919150,0,1
0.248923150,1,1
0.248928200,0,1
0.248929200,0,0
0.248933350,1,0
0.248938400,0,0
0.248939600,0,1
0.248943600,1,1
0.248948600,0,1
0.248949600,0,0
0.248953800,1,0
0.248958850,0,0
0.248964050,1,0
0.248969050,0,0
0.248974250,1,0
0.248979300,0,0
0.248984500,1,0
0.248989500,0,0
0.248994700,1,0
0.248999750,0,0
0.249001000,0,1
0.249004900,1,1
0.249009950,0,1
0.249010950,0,0
0.249015150,1,0
0.249020200,0,0
0.249025350,1,0
0.249030400,0,0
0.249035600,1,0
0.249040600,0,0
0.249045800,1,0
0.249050850,0,0
0.249056050,1,0
0.249061050,0,0
0.249066250,1,0
0.249071300,0,0
0.249076500,1,0
0.249081500,0,0
0.249082200,0,1
0.249086700,1,1
0.249093750,1,0
0.249099750,0,0
0.249100950,0,1
0.249104900,1,1
0.249109950,0,1
0.249110950,0,0
0.249115150,1,0
0.249120200,0,0
0.249121400,0,1
0.249125350,1,1
0.249130400,0,1
0.249131400,0,0
0.249135600,1,0
0.249140600,0,0
0.249141850,0,1
0.249145800,1,1
0.249150850,0,1
0.249151850,0,0
0.249156050,1,0
0.249161050,0,0
0.249166250,1,0
0.249171300,0,0
0.249172500,0,1
0.249176500,1,1
0.249181500,0,1
0.249182000,0,0
0.249186700,1,0
0.249191750,0,0
0.249196900,1,0
0.249201950,0,0
0.249207150,1,0
0.249212200,0,0
0.249217350,1,0
0.249222400,0,0
0.249227600,1,0
0.249232600,0,0
0.249233250,0,1
0.249237800,1,1
0.249242850,0,1
0.249248050,1,1
0.249253050,0,1
0.249258250,1,1
0.249263300,0,1
0.249268450,1,1
0.249273500,0,1
0.249278700,1,1
0.249283750,0,1
0.249284750,0,0
0.249288900,1,0
0.249295150,1,1
0.249352950,1,0
0.249358950,0,0
0.249360150,0,1
0.249364100,1,1
0.249369200,0,1
0.249370200,0,0
0.249374350,1,0
0.249379400,0,0
0.249380600,0,1
0.249384600,1,1
0.249389600,0,1
0.249390600,0,0
0.249394800,1,0
0.249399850,0,0
0.249401050,0,1
0.249405050,1,1
0.249410050,0,1
0.249411050,0,0
0.249415250,1,0
0.249420300,0,0
0.249425500,1,0
0.249430500,0,0
0.249435700,1,0
0.249440750,0,0
0.249445900,1,0
0.249450950,0,0
0.249456150,1,0
0.249461200,0,0
0.249462400,0,1
0.249466350,1,1
0.249471400,0,1
0.249472400,0,0
0.249476600,1,0
0.249481600,0,0
0.249482850,0,1
0.249486800,1,1
0.249491850,0,1
0.249492850,0,0
0.249497050,1,0
0.249502050,0,0
0.249507250,1,0
0.249512300,0,0
0.249517500,1,0
0.249522500,0,0
0.249527700,1,0
0.249532750,0,0
0.249537900,1,0
0.249542950,0,0
0.249543650,0,1
0.249548150,1,1
0.249555150,1,0
0.249561200,0,0
0.249562400,0,1
