Time [s],Channel 0,Channel 1
0.000000000,0,0
4.935405700,1,0
4.935949200,1,1
5.212857900,1,0
5.212863900,0,0
5.212865100,0,1
5.212869000,1,1
5.212874100,0,1
5.212875100,0,0
5.212879200,1,0
5.212884300,0,0
5.212885500,0,1
5.212889400,1,1
5.212894500,0,1
5.212895500,0,0
5.212899600,1,0
5.212904600,0,0
5.212909800,1,0
5.212914800,0,0
5.212920000,1,0
5.212925000,0,0
5.212930200,1,0
5.212935200,0,0
5.212940400,1,0
5.212945400,0,0
5.212950500,1,0
5.212955600,0,0
5.212960700,1,0
5.212965800,0,0
5.212970900,1,0
5.212975900,0,0
5.212981100,1,0
5.212986100,0,0
5.212991300,1,0
5.212996300,0,0
5.213001500,1,0
5.213006500,0,0
5.213011700,1,0
5.213016700,0,0
5.213021800,1,0
5.213026900,0,0
5.213032000,1,0
5.213037100,0,0
5.213042200,1,0
5.213047200,0,0
5.213047700,0,1
5.213052400,1,1
5.213059400,1,0
5.213065400,0,0
5.213066600,0,1
5.213070600,1,1
5.213075600,0,1
5.213076600,0,0
5.213080800,1,0
5.213085800,0,0
5.213087000,0,1
5.213090900,1,1
5.213096000,0,1
5.213097000,0,0
5.213101100,1,0
5.213106200,0,0
5.213111300,1,0
5.213116300,0,0
5.213121500,1,0
5.213126500,0,0
5.213131700,1,0
5.213136700,0,0
5.213137900,0,1
5.213141900,1,1
5.213146900,0,1
5.213147100,0,0
5.213152100,1,0
5.213157100,0,0
5.213162200,1,0
5.213167300,0,0
5.213172400,1,0
5.213177500,0,0
5.213182600,1,0
5.213187600,0,0
5.213192800,1,0
5.213197800,0,0
5.213203000,1,0
5.213208000,0,0
5.213213200,1,0
5.213218200,0,0
5.213223400,1,0
5.213228400,0,0
5.213233500,1,0
5.213238600,0,0
5.213239000,0,1
5.213243700,1,1
5.213248800,0,1
5.213249800,0,0
5.213253900,1,0
5.213260100,1,1
5.213631900,1,0
5.213637900,0,0
5.213639100,0,1
5.213643100,1,1
5.213648100,0,1
5.213649100,0,0
5.213653300,1,0
5.213658300,0,0
5.213659500,0,1
5.213663500,1,1
5.213668500,0,1
5.213669500,0,0
5.213673600,1,0
5.213678700,0,0
5.213683800,1,0
5.213688900,0,0
5.213694000,1,0
5.213699000,0,0
5.213704200,1,0
5.213709200,0,0
5.213714400,1,0
5.213719400,0,0
5.213724600,1,0
5.213729600,0,0
5.213734800,1,0
5.213739800,0,0
5.213744900,1,0
5.213750000,0,0
5.213755100,1,0
5.213760200,0,0
5.213765300,1,0
5.213770300,0,0
5.213775500,1,0
5.213780500,0,0
5.213785700,1,0
5.213790700,0,0
5.213795900,1,0
5.213800900,0,0
5.213802100,0,1
5.213806000,1,1
5.213811100,0,1
5.213811300,0,0
5.213816200,1,0
5.213821300,0,0
5.213821700,0,1
5.213826400,1,1
5.213833500,1,0
5.213839500,0,0
5.213840600,0,1
5.213844600,1,1
5.213849600,0,1
5.213850600,0,0
5.213854800,1,0
5.213859800,0,0
5.213861000,0,1
5.213865000,1,1
5.213870000,0,1
5.213871000,0,0
5.213875200,1,0
5.213880200,0,0
5.213885300,1,0
5.213890400,0,0
5.213895500,1,0
5.213900600,0,0
5.213905700,1,0
5.213910700,0,0
5.213912000,0,1
5.213915900,1,1
5.213920900,0,1
5.213921200,0,0
5.213926100,1,0
5.213931100,0,0
