Time [s],Channel 0,Channel 1
0.000000000,1,1
0.087285200,1,0
0.087291200,0,0
0.087292400,0,1
0.087296400,1,1
0.087301400,0,1
0.087302400,0,0
0.087306600,1,0
0.087311600,0,0
0.087312800,0,1
0.087316700,1,1
0.087321800,0,1
0.087322800,0,0
0.087326900,1,0
0.087332000,0,0
0.087333200,0,1
0.087337100,1,1
0.087342200,0,1
0.087343200,0,0
0.087347300,1,0
0.087352300,0,0
0.087357500,1,0
0.087362500,0,0
0.087367700,1,0
0.087372700,0,0
0.087377900,1,0
0.087382900,0,0
0.087388100,1,0
0.087393100,0,0
0.087394300,0,1
0.087398200,1,1
0.087403300,0,1
0.087404300,0,0
0.087408400,1,0
0.087413500,0,0
0.087418600,1,0
0.087423600,0,0
0.087428800,1,0
0.087433800,0,0
0.087439000,1,0
0.087444000,0,0
0.087449200,1,0
0.087454200,0,0
0.087459300,1,0
0.087464400,0,0
0.087469500,1,0
0.087474600,0,0
0.087475200,0,1
0.087479700,1,1
0.087486800,1,0
0.087492800,0,0
0.087493900,0,1
0.087497900,1,1
0.087502900,0,1
0.087503900,0,0
0.087508100,1,0
0.087513100,0,0
0.087514300,0,1
0.087518300,1,1
0.087523300,0,1
0.087524300,0,0
0.087528500,1,0
0.087533500,0,0
0.087534700,0,1
0.087538600,1,1
0.087543700,0,1
0.087544700,0,0
0.087548800,1,0
0.087553900,0,0
0.087559000,1,0
0.087564000,0,0
0.087565300,0,1
0.087569200,1,1
0.087574200,0,1
0.087574600,0,0
0.087579400,1,0
0.087584400,0,0
0.087589600,1,0
0.087594600,0,0
0.087599800,1,0
0.087604800,0,0
0.087609900,1,0
0.087615000,0,0
0.087620100,1,0
0.087625200,0,0
0.087625800,0,1
0.087630300,1,1
0.087635300,0,1
0.087640500,1,1
0.087645500,0,1
0.087650700,1,1
0.087655700,0,1
0.087660900,1,1
0.087665900,0,1
0.087671000,1,1
0.087676100,0,1
0.087677100,0,0
0.087681200,1,0
0.087687400,1,1
0.087753300,1,0
0.087759300,0,0
0.087760400,0,1
0.087764400,1,1
0.087769500,0,1
0.087770500,0,0
0.087774600,1,0
0.087779600,0,0
0.087780800,0,1
0.087784800,1,1
0.087789800,0,1
0.087790800,0,0
0.087795000,1,0
0.087800000,0,0
0.087801200,0,1
0.087805200,1,1
0.087810200,0,1
0.087811200,0,0
0.087815300,1,0
0.087820400,0,0
0.087825500,1,0
0.087830600,0,0
0.087835700,1,0
0.087840800,0,0
0.087845900,1,0
0.087850900,0,0
0.087856100,1,0
0.087861100,0,0
0.087862300,0,1
0.087866300,1,1
0.087871300,0,1
0.087872300,0,0
0.087876500,1,0
0.087881500,0,0
0.087882700,0,1
0.087886600,1,1
0.087891700,0,1
0.087892700,0,0
0.087896800,1,0
0.087901900,0,0
0.087907000,1,0
0.087912000,0,0
0.087917200,1,0
0.087922200,0,0
0.087927400,1,0
0.087932400,0,0
0.087937600,1,0
0.087942600,0,0
0.087943200,0,1
0.087947800,1,1
0.087954800,1,0
0.087960800,0,0
0.087962000,0,1
0.087965900,1,1
0.087971000,0,1
0.087972000,0,0
0.087976100,1,0
0.087981200,0,0
0.087982300,0,1
0.087986300,1,1
0.087991300,0,1
0.087992300,0,0
0.087996500,1,0
0.088001500,0,0
0.088002700,0,1
0.088006700,1,1
0.088011700,0,1
0.088012700,0,0
0.088016900,1,0
0.088021900,0,0
0.088027000,1,0
0.088032100,0,0
0.088033300,0,1
0.088037200,1,1
0.088042300,0,1
0.088042700,0,0
0.088047400,1,0
0.088052500,0,0
0.088057600,1,0
0.088062600,0,0
0.088067800,1,0
0.088072800,0,0
0.088078000,1,0
0.088083000,0,0
0.088088200,1,0
0.088093200,0,0
0.088098300,1,0
0.088103400,0,0
0.088108500,1,0
0.088113600,0,0
0.088118700,1,0
0.088123700,0,0
0.088128900,1,0
0.088133900,0,0
0.088139100,1,0
0.088144100,0,0
0.088147300,0,1
0.088149300,1,1
0.088154300,0,1
0.088154700,0,0
0.088159500,1,0
0.088164500,0,0
0.088169600,1,0
0.088174700,0,0
0.088179800,1,0
0.088184900,0,0
0.088190000,1,0
0.088195000,0,0
0.088200200,1,0
0.088205200,0,0
0.088210400,1,0
0.088215400,0,0
0.088220600,1,0
0.088225600,0,0
0.088230800,1,0
0.088235800,0,0
0.088240900,1,0
0.088246000,0,0
0.088251100,1,0
0.088256200,0,0
0.088261300,1,0
0.088266300,0,0
0.088271500,1,0
0.088276500,0,0
0.088281700,1,0
0.088286700,0,0
0.088291900,1,0
0.088296900,0,0
0.088302000,1,0
0.088307100,0,0
0.088312200,1,0
0.088317300,0,0
0.088322400,1,0
0.088327500,0,0
0.088330700,0,1
0.088332600,1,1
0.088337600,0,1
0.088338100,0,0
0.088342800,1,0
0.088347800,0,0
0.088353000,1,0
0.088358000,0,0
0.088363200,1,0
0.088368200,0,0
0.088373300,1,0
0.088378400,0,0
0.088383500,1,0
0.088388600,0,0
0.088393700,1,0
0.088398700,0,0
0.088403900,1,0
0.088408900,0,0
0.088414100,1,0
0.088419100,0,0
0.088424300,1,0
0.088429300,0,0
0.088434500,1,0
0.088439500,0,0
0.088444600,1,0
0.088449700,0,0
0.088454800,1,0
0.088459900,0,0
0.088465000,1,0
0.088470000,0,0
0.088475200,1,0
0.088480200,0,0
0.088485400,1,0
0.088490400,0,0
0.088495600,1,0
0.088500600,0,0
0.088505700,1,0
0.088510800,0,0
0.088514000,0,1
0.088515900,1,1
0.088521000,0,1
0.088521400,0,0
0.088526100,1,0
0.088531200,0,0
0.088536300,1,0
0.088541300,0,0
0.088546500,1,0
0.088551500,0,0
0.088556700,1,0
0.088561700,0,0
0.088566900,1,0
0.088571900,0,0
0.088577000,1,0
0.088582100,0,0
0.088587200,1,0
0.088592300,0,0
0.088592900,0,1
0.088597400,1,1
0.088602500,0,1
0.088603500,0,0
0.088607600,1,0
0.088613800,1,1
0.186512100,1,0
0.186518100,0,0
0.186519300,0,1
0.186523200,1,1
0.186528300,0,1
0.186529300,0,0
0.186533400,1,0
0.186538500,0,0
0.186539700,0,1
0.186543600,1,1
0.186548700,0,1
0.186549700,0,0
0.186553800,1,0
0.186558900,0,0
0.186560000,0,1
0.186564000,1,1
0.186569000,0,1
0.186570000,0,0
0.186574200,1,0
0.186579200,0,0
0.186584400,1,0
0.186589400,0,0
0.186594600,1,0
0.186599600,0,0
0.186604700,1,0
0.186609800,0,0
0.186614900,1,0
0.186620000,0,0
0.186621200,0,1
0.186625100,1,1
0.186630200,0,1
0.186631200,0,0
0.186635300,1,0
0.186640300,0,0
0.186645500,1,0
0.186650500,0,0
0.186655700,1,0
0.186660700,0,0
0.186665900,1,0
0.186670900,0,0
0.186676000,1,0
0.186681100,0,0
0.186686200,1,0
0.186691300,0,0
0.186696400,1,0
0.186701400,0,0
0.186702100,0,1
0.186706600,1,1
0.186713600,1,0
0.186719600,0,0
0.186720800,0,1
0.186724800,1,1
0.186729800,0,1
0.186730800,0,0
0.186735000,1,0
0.186740000,0,0
0.186741200,0,1
0.186745200,1,1
0.186750200,0,1
0.186751200,0,0
0.186755300,1,0
0.186760400,0,0
0.186761600,0,1
0.186765500,1,1
0.186770600,0,1
0.186771600,0,0
0.186775700,1,0
0.186780700,0,0
0.186785900,1,0
0.186790900,0,0
0.186792100,0,1
0.186796100,1,1
0.186801100,0,1
0.186801600,0,0
0.186806300,1,0
0.186811300,0,0
0.186816500,1,0
0.186821500,0,0
0.186826600,1,0
0.186831700,0,0
0.186836800,1,0
0.186841900,0,0
0.186847000,1,0
0.186852000,0,0
0.186852700,0,1
0.186857200,1,1
0.186862200,0,1
0.186867400,1,1
0.186872400,0,1
0.186877600,1,1
0.186882600,0,1
0.186887700,1,1
0.186892800,0,1
0.186897900,1,1
0.186903000,0,1
0.186904000,0,0
0.186908100,1,0
0.186914300,1,1
0.186981200,1,0
0.186987200,0,0
0.186988300,0,1
0.186992300,1,1
0.186997300,0,1
0.186998300,0,0
0.187002500,1,0
0.187007500,0,0
0.187008700,0,1
0.187012700,1,1
0.187017700,0,1
0.187018700,0,0
0.187022900,1,0
0.187027900,0,0
0.187029100,0,1
0.187033000,1,1
0.187038100,0,1
0.187039100,0,0
0.187043200,1,0
0.187048300,0,0
0.187053400,1,0
0.187058400,0,0
0.187063600,1,0
0.187068600,0,0
0.187073800,1,0
0.187078800,0,0
0.187084000,1,0
0.187089000,0,0
0.187090200,0,1
0.187094200,1,1
0.187099200,0,1
0.187100200,0,0
0.187104300,1,0
0.187109400,0,0
0.187110600,0,1
0.187114500,1,1
0.187119600,0,1
0.187120600,0,0
0.187124700,1,0
0.187129700,0,0
0.187134900,1,0
0.187139900,0,0
0.187145100,1,0
0.187150100,0,0
0.187155300,1,0
0.187160300,0,0
0.187165500,1,0
0.187170500,0,0
0.187171100,0,1
0.187175600,1,1
0.187182700,1,0
0.187188700,0,0
0.187189800,0,1
0.187193800,1,1
0.187198900,0,1
0.187199900,0,0
0.187204000,1,0
0.187209000,0,0
0.187210200,0,1
0.187214200,1,1
0.187219200,0,1
0.187220200,0,0
0.187224400,1,0
0.187229400,0,0
0.187230600,0,1
0.187234600,1,1
0.187239600,0,1
0.187240600,0,0
0.187244700,1,0
0.187249800,0,0
0.187254900,1,0
0.187260000,0,0
0.187261200,0,1
0.187265100,1,1
0.187270200,0,1
0.187270600,0,0
0.187275300,1,0
0.187280300,0,0
0.187285500,1,0
0.187290500,0,0
0.187295700,1,0
0.187300700,0,0
0.187305900,1,0
0.187310900,0,0
0.187316000,1,0
0.187321100,0,0
0.187326200,1,0
0.187331300,0,0
0.187336400,1,0
0.187341400,0,0
0.187346600,1,0
0.187351600,0,0
0.187356800,1,0
0.187361800,0,0
0.187367000,1,0
0.187372000,0,0
0.187375200,0,1
0.187377200,1,1
0.187382200,0,1
0.187382600,0,0
0.187387300,1,0
0.187392400,0,0
0.187397500,1,0
0.187402600,0,0
0.187407700,1,0
0.187412700,0,0
0.187417900,1,0
0.187422900,0,0
0.187428100,1,0
0.187433100,0,0
0.187438300,1,0
0.187443300,0,0
0.187448400,1,0
0.187453500,0,0
0.187458600,1,0
0.187463700,0,0
0.187468800,1,0
0.187473900,0,0
0.187479000,1,0
0.187484000,0,0
0.187489200,1,0
0.187494200,0,0
0.187499400,1,0
0.187504400,0,0
0.187509600,1,0
0.187514600,0,0
0.187519700,1,0
0.187524800,0,0
0.187529900,1,0
0.187535000,0,0
0.187540100,1,0
0.187545100,0,0
0.187550300,1,0
0.187555300,0,0
0.187558500,0,1
0.187560500,1,1
0.187565500,0,1
0.187565900,0,0
0.187570700,1,0
0.187575700,0,0
0.187580900,1,0
0.187585900,0,0
0.187591000,1,0
0.187596100,0,0
0.187601200,1,0
0.187606300,0,0
0.187611400,1,0
0.187616400,0,0
0.187621600,1,0
0.187626600,0,0
0.187631800,1,0
0.187636800,0,0
0.187642000,1,0
0.187647000,0,0
0.187652200,1,0
0.187657200,0,0
0.187662300,1,0
0.187667400,0,0
0.187672500,1,0
0.187677600,0,0
0.187682700,1,0
0.187687700,0,0
0.187692900,1,0
0.187697900,0,0
0.187703100,1,0
0.187708100,0,0
0.187713300,1,0
0.187718300,0,0
0.187723400,1,0
0.187728500,0,0
0.187733600,1,0
0.187738700,0,0
0.187741900,0,1
0.187743800,1,1
0.187748900,0,1
0.187749300,0,0
