Time [s],Channel 0,Channel 1
0.000000000,1,1
4.837696550,1,0
4.837702550,0,0
4.837703700,0,1
4.837707700,1,1
4.837712750,0,1
4.837713750,0,0
4.837717900,1,0
4.837723000,0,0
4.837724150,0,1
4.837728150,1,1
4.837733200,0,1
4.837734200,0,0
4.837738400,1,0
4.837743450,0,0
4.837748600,1,0
4.837753650,0,0
4.837758800,1,0
4.837763850,0,0
4.837769050,1,0
4.837774100,0,0
4.837779250,1,0
4.837784300,0,0
4.837789500,1,0
4.837794550,0,0
4.837799700,1,0
4.837804750,0,0
4.837809950,1,0
4.837815000,0,0
4.837820150,1,0
4.837825200,0,0
4.837830400,1,0
4.837835450,0,0
4.837840600,1,0
4.837845650,0,0
4.837850800,1,0
4.837855850,0,0
4.837861050,1,0
4.837866100,0,0
4.837871250,1,0
4.837876300,0,0
4.837881500,1,0
4.837886550,0,0
4.837887450,0,1
4.837891700,1,1
4.837898750,1,0
4.837904750,0,0
4.837905950,0,1
4.837909900,1,1
4.837915000,0,1
4.837916000,0,0
4.837920150,1,0
4.837925200,0,0
4.837926400,0,1
4.837930350,1,1
4.837935450,0,1
4.837936450,0,0
4.837940600,1,0
4.837945650,0,0
4.837950800,1,0
4.837955850,0,0
4.837961050,1,0
4.837966100,0,0
4.837971250,1,0
4.837976300,0,0
4.837977500,0,1
4.837981500,1,1
4.837986550,0,1
4.837987250,0,0
4.837991700,1,0
4.837996750,0,0
4.838001950,1,0
4.838007000,0,0
4.838012150,1,0
4.838017200,0,0
4.838022400,1,0
4.838027450,0,0
4.838032600,1,0
4.838037650,0,0
4.838042800,1,0
4.838047850,0,0
4.838053050,1,0
4.838058100,0,0
4.838063250,1,0
4.838068300,0,0
4.838073500,1,0
4.838078550,0,0
4.838079400,0,1
4.838083700,1,1
4.838088750,0,1
4.838089750,0,0
4.838093950,1,0
4.838100150,1,1
4.838470000,1,0
4.838476000,0,0
4.838477150,0,1
4.838481100,1,1
4.838486200,0,1
4.838487200,0,0
4.838491350,1,0
4.838496400,0,0
4.838497600,0,1
4.838501600,1,1
4.838506650,0,1
4.838507650,0,0
4.838511800,1,0
4.838516850,0,0
4.838522050,1,0
4.838527100,0,0
4.838532250,1,0
4.838537300,0,0
4.838542500,1,0
4.838547550,0,0
4.838552700,1,0
4.838557750,0,0
4.838562950,1,0
4.838568000,0,0
4.838573150,1,0
4.838578200,0,0
4.838583350,1,0
4.838588400,0,0
4.838593600,1,0
4.838598650,0,0
4.838603800,1,0
4.838608850,0,0
4.838614050,1,0
4.838619100,0,0
4.838624250,1,0
4.838629300,0,0
4.838634500,1,0
4.838639550,0,0
4.838640750,0,1
4.838644700,1,1
4.838649750,0,1
4.838650500,0,0
4.838654900,1,0
4.838660000,0,0
4.838660850,0,1
4.838665150,1,1
4.838672200,1,0
4.838678200,0,0
4.838679350,0,1
4.838683350,1,1
4.838688400,0,1
4.838689400,0,0
4.838693600,1,0
4.838698650,0,0
4.838699800,0,1
4.838703800,1,1
4.838708850,0,1
4.838709850,0,0
4.838714050,1,0
4.838719100,0,0
4.838724250,1,0
4.838729300,0,0
4.838734500,1,0
4.838739550,0,0
4.838744700,1,0
4.838749750,0,0
4.838750950,0,1
4.838754900,1,1
4.838759950,0,1
4.838760700,0,0
4.838765150,1,0
4.838770200,0,0
4.838771100,0,1
4.838775350,1,1
4.838780400,0,1
4.838785600,1,1
4.838790650,0,1
4.838795800,1,1
4.838800850,0,1
4.838806050,1,1
4.838811100,0,1
4.838816250,1,1
4.838821300,0,1
4.838826500,1,1
4.838831550,0,1
4.838836700,1,1
4.838841750,0,1
4.838846900,1,1
4.838851950,0,1
4.838857150,1,1
4.838862200,0,1
4.838863200,0,0
4.838867350,1,0
4.838873600,1,1
4.839268400,1,0
4.839274400,0,0
4.839275550,0,1
4.839279550,1,1
4.839284650,0,1
4.839285650,0,0
4.839289800,1,0
4.839294850,0,0
4.839296050,0,1
4.839300000,1,1
4.839305100,0,1
4.839306100,0,0
4.839310250,1,0
4.839315300,0,0
4.839320450,1,0
4.839325500,0,0
4.839330700,1,0
4.839335750,0,0
4.839340900,1,0
4.839345950,0,0
4.839351150,1,0
4.839356200,0,0
4.839361350,1,0
4.839366400,0,0
4.839371600,1,0
4.839376650,0,0
4.839381800,1,0
4.839386850,0,0
4.839392050,1,0
4.839397100,0,0
4.839402250,1,0
4.839407300,0,0
4.839408500,0,1
4.839412450,1,1
4.839417500,0,1
4.839418500,0,0
4.839422700,1,0
4.839427750,0,0
4.839432900,1,0
4.839437950,0,0
4.839443150,1,0
4.839448200,0,0
4.839453350,1,0
4.839458400,0,0
4.839459300,0,1
4.839463600,1,1
4.839470650,1,0
4.839476650,0,0
4.839477800,0,1
4.839481800,1,1
4.839486850,0,1
4.839487850,0,0
4.839492000,1,0
4.839497100,0,0
4.839498250,0,1
4.839502250,1,1
4.839507300,0,1
4.839508300,0,0
4.839512450,1,0
4.839517500,0,0
4.839522700,1,0
4.839527750,0,0
4.839532900,1,0
4.839537950,0,0
4.839543150,1,0
4.839548200,0,0
4.839549400,0,1
4.839553350,1,1
4.839558400,0,1
4.839559150,0,0
4.839563600,1,0
4.839568650,0,0
4.839569500,0,1
4.839573800,1,1
4.839578850,0,1
4.839584000,1,1
4.839589100,0,1
4.839594250,1,1
4.839599300,0,1
4.839604450,1,1
4.839609500,0,1
4.839614700,1,1
4.839619750,0,1
4.839624900,1,1
4.839629950,0,1
4.839635150,1,1
4.839640200,0,1
4.839645350,1,1
4.839650400,0,1
4.839651400,0,0
4.839655600,1,0
4.839660650,0,0
4.839663800,0,1
4.839665800,1,1
4.839670850,0,1
4.839676000,1,1
4.839681100,0,1
4.839686250,1,1
4.839691300,0,1
4.839696450,1,1
4.839701500,0,1
4.839706700,1,1
4.839711750,0,1
4.839716900,1,1
4.839721950,0,1
4.839727150,1,1
4.839732200,0,1
4.839737350,1,1
4.839742400,0,1
4.839747600,1,1
4.839752650,0,1
4.839753650,0,0
4.839757800,1,0
4.839764000,1,1
4.840214850,1,0
4.840220850,0,0
4.840222000,0,1
4.840226000,1,1
4.840231050,0,1
4.840232050,0,0
4.840236250,1,0
4.840241300,0,0
4.840242450,0,1
4.840246450,1,1
4.840251500,0,1
4.840252500,0,0
4.840256700,1,0
4.840261750,0,0
4.840266900,1,0
4.840271950,0,0
4.840277150,1,0
4.840282200,0,0
4.840287350,1,0
4.840292400,0,0
4.840297550,1,0
4.840302600,0,0
4.840307800,1,0
4.840312850,0,0
4.840318000,1,0
4.840323050,0,0
4.840328250,1,0
4.840333300,0,0
4.840338450,1,0
4.840343500,0,0
4.840348700,1,0
4.840353750,0,0
4.840358900,1,0
4.840363950,0,0
4.840369150,1,0
4.840374200,0,0
4.840379350,1,0
4.840384400,0,0
4.840389550,1,0
4.840394600,0,0
4.840399800,1,0
4.840404850,0,0
4.840405750,0,1
4.840410000,1,1
4.840417050,1,0
4.840423050,0,0
4.840424250,0,1
4.840428200,1,1
4.840433300,0,1
4.840434300,0,0
4.840438450,1,0
4.840443500,0,0
4.840444700,0,1
4.840448700,1,1
4.840453750,0,1
4.840454750,0,0
4.840458900,1,0
4.840463950,0,0
4.840469100,1,0
4.840474200,0,0
4.840479350,1,0
4.840484400,0,0
4.840489550,1,0
4.840494600,0,0
4.840495850,0,1
4.840499800,1,1
4.840504850,0,1
4.840505550,0,0
4.840510000,1,0
4.840515050,0,0
4.840520250,1,0
4.840525300,0,0
4.840530450,1,0
4.840535500,0,0
4.840540700,1,0
4.840545750,0,0
4.840550900,1,0
4.840555950,0,0
4.840561150,1,0
4.840566200,0,0
4.840571350,1,0
4.840576400,0,0
4.840581550,1,0
4.840586600,0,0
4.840591800,1,0
4.840596850,0,0
4.840597700,0,1
4.840602000,1,1
4.840607050,0,1
4.840608050,0,0
4.840612250,1,0
4.840618450,1,1
4.841012300,1,0
4.841018300,0,0
4.841019450,0,1
4.841023400,1,1
4.841028500,0,1
4.841029500,0,0
4.841033650,1,0
4.841038750,0,0
4.841039900,0,1
4.841043900,1,1
4.841048950,0,1
4.841049950,0,0
4.841054100,1,0
4.841059150,0,0
4.841064350,1,0
4.841069400,0,0
4.841074550,1,0
4.841079600,0,0
4.841084800,1,0
4.841089850,0,0
4.841095000,1,0
4.841100050,0,0
4.841105250,1,0
4.841110300,0,0
4.841115450,1,0
4.841120500,0,0
4.841125650,1,0
4.841130750,0,0
4.841135900,1,0
4.841140950,0,0
4.841146100,1,0
4.841151150,0,0
4.841156350,1,0
4.841161400,0,0
4.841166550,1,0
4.841171600,0,0
4.841176800,1,0
4.841181850,0,0
4.841183050,0,1
4.841187000,1,1
4.841192050,0,1
4.841192800,0,0
4.841197250,1,0
4.841202300,0,0
4.841203150,0,1
4.841207450,1,1
4.841214500,1,0
4.841220500,0,0
4.841221650,0,1
4.841225650,1,1
4.841230700,0,1
4.841231700,0,0
4.841235900,1,0
4.841240950,0,0
4.841242150,0,1
4.841246100,1,1
4.841251150,0,1
4.841252150,0,0
4.841256350,1,0
4.841261400,0,0
4.841266550,1,0
4.841271600,0,0
4.841276800,1,0
4.841281850,0,0
4.841287000,1,0
4.841292050,0,0
4.841293250,0,1
4.841297250,1,1
4.841302300,0,1
4.841303000,0,0
4.841307450,1,0
4.841312500,0,0
4.841313400,0,1
4.841317650,1,1
4.841322700,0,1
4.841327900,1,1
4.841332950,0,1
4.841338100,1,1
4.841343150,0,1
4.841348350,1,1
4.841353400,0,1
4.841358550,1,1
4.841363600,0,1
4.841368800,1,1
4.841373850,0,1
4.841379000,1,1
4.841384050,0,1
4.841389250,1,1
4.841394300,0,1
4.841399450,1,1
4.841404500,0,1
4.841405500,0,0
4.841409650,1,0
4.841415900,1,1
4.841801700,1,0
4.841807700,0,0
4.841808850,0,1
4.841812850,1,1
4.841817950,0,1
4.841818950,0,0
4.841823100,1,0
4.841828150,0,0
4.841829350,0,1
4.841833350,1,1
4.841838400,0,1
4.841839400,0,0
4.841843550,1,0
4.841848600,0,0
4.841853800,1,0
4.841858850,0,0
4.841864000,1,0
4.841869050,0,0
4.841874200,1,0
4.841879250,0,0
4.841884450,1,0
4.841889500,0,0
4.841894650,1,0
4.841899700,0,0
4.841904900,1,0
4.841909950,0,0
4.841911150,0,1
4.841915100,1,1
4.841920150,0,1
4.841925350,1,1
4.841930400,0,1
4.841935550,1,1
4.841940600,0,1
4.841945750,1,1
4.841950850,0,1
4.841956000,1,1
4.841961050,0,1
4.841966200,1,1
4.841971250,0,1
4.841972250,0,0
4.841976450,1,0
4.841981500,0,0
4.841986650,1,0
4.841991700,0,0
4.841992600,0,1
4.841996900,1,1
4.842003950,1,0
4.842009950,0,0
4.842011100,0,1
4.842015100,1,1
4.842020150,0,1
4.842021150,0,0
4.842025350,1,0
4.842030400,0,0
4.842031550,0,1
4.842035550,1,1
4.842040600,0,1
4.842041600,0,0
4.842045800,1,0
4.842050850,0,0
4.842056000,1,0
4.842061050,0,0
4.842066200,1,0
4.842071250,0,0
4.842076450,1,0
4.842081500,0,0
4.842082700,0,1
4.842086650,1,1
4.842091700,0,1
4.842092450,0,0
4.842096900,1,0
4.842101950,0,0
4.842107100,1,0
4.842112150,0,0
4.842117350,1,0
4.842122400,0,0
4.842127550,1,0
4.842132600,0,0
4.842137750,1,0
4.842142850,0,0
4.842148000,1,0
4.842153050,0,0
4.842158200,1,0
4.842163250,0,0
4.842168450,1,0
4.842173500,0,0
4.842178650,1,0
4.842183700,0,0
4.842184600,0,1
4.842188900,1,1
4.842193950,0,1
4.842194900,0,0
4.842199100,1,0
4.842205350,1,1
4.842651150,1,0
4.842657150,0,0
4.842658300,0,1
4.842662300,1,1
4.842667400,0,1
4.842668350,0,0
4.842672550,1,0
4.842677600,0,0
4.842678800,0,1
4.842682750,1,1
4.842687800,0,1
4.842688800,0,0
4.842693000,1,0
4.842698050,0,0
4.842703200,1,0
4.842708250,0,0
4.842713450,1,0
4.842718500,0,0
4.842723650,1,0
4.842728700,0,0
4.842733900,1,0
4.842738950,0,0
4.842744100,1,0
4.842749150,0,0
4.842754300,1,0
4.842759350,0,0
4.842764550,1,0
4.842769600,0,0
4.842774750,1,0
4.842779800,0,0
4.842785000,1,0
4.842790050,0,0
4.842795200,1,0
4.842800250,0,0
4.842805450,1,0
4.842810500,0,0
4.842815650,1,0
4.842820700,0,0
4.842825900,1,0
4.842830950,0,0
4.842836100,1,0
4.842841150,0,0
4.842842050,0,1
4.842846300,1,1
4.842853350,1,0
4.842859350,0,0
4.842860550,0,1
4.842864550,1,1
4.842869600,0,1
4.842870600,0,0
4.842874750,1,0
4.842879800,0,0
4.842881000,0,1
4.842885000,1,1
4.842890050,0,1
4.842891050,0,0
4.842895200,1,0
4.842900250,0,0
4.842905450,1,0
4.842910500,0,0
4.842915650,1,0
4.842920700,0,0
4.842925900,1,0
4.842930950,0,0
4.842932150,0,1
4.842936100,1,1
4.842941150,0,1
4.842941850,0,0
4.842946300,1,0
4.842951350,0,0
4.842956550,1,0
4.842961600,0,0
4.842966750,1,0
4.842971800,0,0
4.842977000,1,0
4.842982050,0,0
4.842987200,1,0
4.842992250,0,0
4.842997450,1,0
4.843002500,0,0
4.843007650,1,0
4.843012700,0,0
4.843017900,1,0
4.843022950,0,0
4.843028100,1,0
4.843033150,0,0
4.843034050,0,1
4.843038300,1,1
4.843043350,0,1
4.843044350,0,0
4.843048550,1,0
4.843054750,1,1
4.843448600,1,0
4.843454600,0,0
4.843455750,0,1
4.843459750,1,1
4.843464800,0,1
4.843465800,0,0
4.843469950,1,0
4.843475050,0,0
4.843476200,0,1
4.843480200,1,1
4.843485250,0,1
4.843486250,0,0
4.843490450,1,0
4.843495500,0,0
4.843500650,1,0
4.843505700,0,0
4.843510850,1,0
4.843515900,0,0
4.843521100,1,0
4.843526150,0,0
4.843531300,1,0
4.843536350,0,0
4.843541550,1,0
4.843546600,0,0
4.843551750,1,0
4.843556800,0,0
4.843562000,1,0
4.843567050,0,0
4.843572200,1,0
4.843577250,0,0
4.843582400,1,0
4.843587500,0,0
4.843592650,1,0
4.843597700,0,0
4.843602850,1,0
4.843607900,0,0
4.843613100,1,0
4.843618150,0,0
4.843619350,0,1
4.843623300,1,1
4.843628350,0,1
4.843629100,0,0
4.843633550,1,0
4.843638600,0,0
4.843639450,0,1
4.843643750,1,1
4.843650800,1,0
4.843656800,0,0
4.843658000,0,1
4.843661950,1,1
4.843667050,0,1
4.843668050,0,0
4.843672200,1,0
4.843677250,0,0
4.843678450,0,1
4.843682400,1,1
4.843687500,0,1
4.843688450,0,0
4.843692650,1,0
4.843697700,0,0
4.843702850,1,0
4.843707900,0,0
4.843713100,1,0
4.843718150,0,0
4.843723300,1,0
4.843728350,0,0
4.843729550,0,1
4.843733550,1,1
4.843738600,0,1
4.843739300,0,0
4.843743750,1,0
4.843748800,0,0
4.843749700,0,1
4.843754000,1,1
4.843759050,0,1
4.843764200,1,1
4.843769250,0,1
4.843774400,1,1
4.843779450,0,1
4.843784650,1,1
4.843789700,0,1
4.843794850,1,1
4.843799900,0,1
4.843805100,1,1
4.843810150,0,1
4.843815300,1,1
4.843820350,0,1
4.843825550,1,1
4.843830600,0,1
4.843835750,1,1
4.843840800,0,1
4.843841800,0,0
4.843846000,1,0
4.843852200,1,1
4.844247000,1,0
4.844253000,0,0
4.844254200,0,1
4.844258150,1,1
4.844263250,0,1
4.844264250,0,0
4.844268400,1,0
4.844273450,0,0
4.844274650,0,1
4.844278650,1,1
4.844283700,0,1
4.844284700,0,0
4.844288850,1,0
4.844293900,0,0
4.844299100,1,0
4.844304150,0,0
4.844309300,1,0
4.844314350,0,0
4.844319550,1,0
4.844324600,0,0
4.844329750,1,0
4.844334800,0,0
4.844339950,1,0
4.844345000,0,0
4.844350200,1,0
4.844355250,0,0
4.844360400,1,0
4.844365450,0,0
4.844370650,1,0
4.844375700,0,0
4.844380850,1,0
4.844385900,0,0
4.844387100,0,1
4.844391100,1,1
4.844396150,0,1
4.844397150,0,0
4.844401300,1,0
4.844406350,0,0
4.844411550,1,0
4.844416600,0,0
4.844421750,1,0
4.844426800,0,0
4.844431950,1,0
4.844437000,0,0
4.844437950,0,1
4.844442200,1,1
4.844449250,1,0
4.844455250,0,0
4.844456400,0,1
4.844460400,1,1
4.844465450,0,1
4.844466450,0,0
4.844470650,1,0
4.844475700,0,0
4.844476850,0,1
4.844480850,1,1
4.844485900,0,1
4.844486900,0,0
4.844491100,1,0
4.844496150,0,0
4.844501300,1,0
4.844506350,0,0
4.844511550,1,0
4.844516600,0,0
4.844521750,1,0
4.844526800,0,0
4.844528000,0,1
4.844531950,1,1
4.844537000,0,1
4.844537750,0,0
4.844542200,1,0
4.844547250,0,0
4.844548100,0,1
4.844552400,1,1
4.844557450,0,1
4.844562650,1,1
4.844567700,0,1
4.844572850,1,1
4.844577900,0,1
4.844583100,1,1
4.844588150,0,1
4.844593300,1,1
4.844598350,0,1
4.844603500,1,1
4.844608600,0,1
4.844613750,1,1
4.844618800,0,1
4.844623950,1,1
4.844629000,0,1
4.844630000,0,0
4.844634200,1,0
4.844639250,0,0
4.844642400,0,1
4.844644400,1,1
4.844649450,0,1
4.844654650,1,1
4.844659700,0,1
4.844664850,1,1
4.844669900,0,1
4.844675100,1,1
4.844680150,0,1
4.844685300,1,1
4.844690350,0,1
4.844695500,1,1
4.844700550,0,1
4.844705750,1,1
4.844710800,0,1
4.844715950,1,1
4.844721000,0,1
4.844726200,1,1
4.844731250,0,1
4.844732250,0,0
4.844736400,1,0
4.844742650,1,1
4.845192450,1,0
4.845198450,0,0
4.845199600,0,1
4.845203600,1,1
4.845208700,0,1
4.845209700,0,0
4.845213850,1,0
4.845218900,0,0
4.845220100,0,1
4.845224050,1,1
4.845229100,0,1
4.845230100,0,0
4.845234300,1,0
4.845239350,0,0
4.845244500,1,0
4.845249550,0,0
4.845254750,1,0
4.845259800,0,0
4.845264950,1,0
4.845270000,0,0
4.845275200,1,0
4.845280250,0,0
4.845285400,1,0
4.845290450,0,0
4.845295650,1,0
4.845300700,0,0
4.845305850,1,0
4.845310900,0,0
4.845316050,1,0
4.845321100,0,0
4.845326300,1,0
4.845331350,0,0
4.845336500,1,0
4.845341550,0,0
4.845346750,1,0
4.845351800,0,0
4.845356950,1,0
4.845362000,0,0
4.845367200,1,0
4.845372250,0,0
4.845377400,1,0
4.845382450,0,0
4.845383350,0,1
4.845387650,1,1
4.845394650,1,0
4.845400700,0,0
4.845401850,0,1
4.845405850,1,1
4.845410900,0,1
4.845411900,0,0
4.845416050,1,0
4.845421100,0,0
4.845422300,0,1
4.845426300,1,1
4.845431350,0,1
4.845432350,0,0
4.845436500,1,0
4.845441550,0,0
4.845446750,1,0
4.845451800,0,0
4.845456950,1,0
4.845462000,0,0
4.845467200,1,0
4.845472250,0,0
4.845473450,0,1
4.845477400,1,1
4.845482450,0,1
4.845483150,0,0
4.845487650,1,0
4.845492700,0,0
4.845497850,1,0
4.845502900,0,0
4.845508050,1,0
4.845513100,0,0
4.845518300,1,0
4.845523350,0,0
4.845528500,1,0
4.845533550,0,0
4.845538750,1,0
4.845543800,0,0
4.845548950,1,0
4.845554000,0,0
4.845559200,1,0
4.845564250,0,0
4.845569400,1,0
4.845574450,0,0
4.845575350,0,1
4.845579600,1,1
4.845584700,0,1
4.845585650,0,0
4.845589850,1,0
4.845596100,1,1
4.845989900,1,0
4.845995900,0,0
4.845997050,0,1
4.846001050,1,1
4.846006100,0,1
4.846007100,0,0
4.846011300,1,0
4.846016350,0,0
4.846017500,0,1
4.846021500,1,1
4.846026550,0,1
4.846027550,0,0
4.846031750,1,0
4.846036800,0,0
4.846041950,1,0
4.846047000,0,0
4.846052150,1,0
4.846057250,0,0
4.846062400,1,0
4.846067450,0,0
4.846072600,1,0
4.846077650,0,0
4.846082850,1,0
4.846087900,0,0
4.846093050,1,0
4.846098100,0,0
4.846103300,1,0
4.846108350,0,0
4.846113500,1,0
4.846118550,0,0
4.846123750,1,0
4.846128800,0,0
4.846133950,1,0
4.846139000,0,0
4.846144150,1,0
4.846149200,0,0
4.846154400,1,0
4.846159450,0,0
4.846160650,0,1
4.846164600,1,1
4.846169650,0,1
4.846170400,0,0
4.846174850,1,0
4.846179900,0,0
4.846180750,0,1
4.846185050,1,1
4.846192100,1,0
4.846198100,0,0
4.846199300,0,1
4.846203250,1,1
4.846208350,0,1
4.846209350,0,0
4.846213500,1,0
4.846218550,0,0
4.846219750,0,1
4.846223700,1,1
4.846228800,0,1
4.846229800,0,0
4.846233950,1,0
4.846239000,0,0
4.846244150,1,0
4.846249200,0,0
4.846254400,1,0
4.846259450,0,0
4.846264600,1,0
4.846269650,0,0
4.846270900,0,1
4.846274850,1,1
4.846279900,0,1
4.846280600,0,0
4.846285050,1,0
4.846290100,0,0
4.846291000,0,1
4.846295300,1,1
4.846300350,0,1
4.846305500,1,1
4.846310550,0,1
4.846315700,1,1
4.846320800,0,1
4.846325950,1,1
4.846331000,0,1
4.846336150,1,1
4.846341200,0,1
4.846346400,1,1
4.846351450,0,1
4.846356600,1,1
4.846361650,0,1
4.846366850,1,1
4.846371900,0,1
4.846377050,1,1
4.846382100,0,1
4.846383100,0,0
4.846387300,1,0
4.846393500,1,1
4.846787350,1,0
4.846793350,0,0
4.846794500,0,1
4.846798450,1,1
4.846803550,0,1
4.846804550,0,0
4.846808700,1,0
4.846813750,0,0
4.846814950,0,1
4.846818950,1,1
4.846824000,0,1
4.846825000,0,0
4.846829150,1,0
